YEAR,PLAYER,TEAM,SALARY
2001,Corie Blount,Suns,1320000
2001,Courtney Alexander,Wizards,1319000
2001,Michael Dickerson,Grizzlies,1310000
2001,Peja Stojakovic,Kings,1310000
2001,Will Avery,Timberwolves,1286000
2001,Mateen Cleaves,Pistons,1253000
2001,Matt Harpring,Cavaliers,1244000
2001,Zan Tabak,Pacers,1210000
2001,LaPhonso Ellis,Timberwolves,1200000
2001,Eldridge Recasner,Hornets,1200000
2001,Danny Manning,Jazz,1200000
2001,Danny Ferry,Spurs,1200000
2001,Anthony Carter,Heat,1200000
2001,Hersey Hawkins,Hornets,1200000
2001,Jason Collier,Rockets,1190000
2001,Metta World Peace,Bulls,1160000
2001,Hedo Turkoglu,Kings,1131000
2001,Tom Hammonds,Timberwolves,1130000
2001,Rasho Nesterovic,Timberwolves,1123000
2001,Cal Bowdler,Hawks,1102000
2001,Greg Buckner,Mavericks,1100000
2001,Desmond Mason,SuperSonics,1074000
2001,James Posey,Nuggets,1047000
2001,Quentin Richardson,Clippers,1020000
2001,Pat Garrity,Magic,1019000
2001,Quincy Lewis,Jazz,1000000
2001,Ruben Patterson,SuperSonics,990000
2001,Roshown McLeod,76ers,978000
2001,Jamaal Magloire,Hornets,975000
2001,Dion Glover,Hawks,960000
2001,Ricky Davis,Heat,939000
2001,Jeff Foster,Pacers,922000
2001,Brian Skinner,Clippers,901000
2001,Morris Peterson,Raptors,898000
2001,Kenny Thomas,Rockets,885000
2001,Fred Hoiberg,Bulls,880000
2001,Tyronn Lue,Lakers,865000
2001,Devean George,Lakers,849000
2001,Felipe Lopez,Wizards,831000
2001,DeShawn Stevenson,Jazz,828000
2001,John Crotty,Jazz,800000
2001,Don MacLean,Heat,798000
2001,Al Harrington,Pacers,797000
2001,Dalibor Bagaric,Bulls,795000
2001,Tim James,Hornets,783000
2001,Jake Tsakalidis,Suns,763000
2001,Vonteego Cummings,Warriors,757000
2001,Hubert Davis,Wizards,752000
2001,Corey Benjamin,Bulls,744000
2001,Nazr Mohammed,76ers,739000
2001,Jumaine Jones,76ers,735000
2001,Bruce Bowen,Heat,733000
2001,Scott Padgett,Jazz,730000
2001,Damon Jones,Grizzlies,714000
2001,Erick Barkley,Blazers,712000
2001,Mark Madsen,Lakers,707000
2001,Darrick Martin,Kings,673000
2001,Emanual Davis,SuperSonics,611000
2001,Eddie Robinson,Hornets,600000
2001,John Amaechi,Magic,598000
2001,Shammond Williams,SuperSonics,550000
2001,Monty Williams,Magic,548000
2001,Don Reid,Magic,548000
2001,Kevin Edwards,Grizzlies,548000
2001,Mahmoud Abdul-Rauf,Grizzlies,548000
2001,David Wingate,SuperSonics,548000
2001,Dee Brown,Magic,548000
2001,Antonio Harvey,Blazers,548000
2001,Jeff McInnis,Clippers,523000
2001,Moochie Norris,Rockets,523000
2001,Ryan Bowen,Nuggets,508000
2001,Laron Profit,Wizards,508000
2001,Rick Brunson,Knicks,507000
2001,Mark Pope,Bucks,498000
2001,Kornel David,Raptors,498000
2001,Bruno Sundov,Pacers,498000
2001,Adrian Griffin,Celtics,498000
2001,Mark Bryant,Mavericks,458000
2001,Rafer Alston,Bucks,423000
2001,Todd MacCulloch,76ers,423000
2001,Mark Blount,Celtics,423000
2001,Calvin Booth,Wizards,423000
2001,Chris Herren,Celtics,423000
2001,Elliot Perry,Suns,390000
2001,Kevin Ollie,76ers,363000
2001,Milt Palacio,Celtics,326000
2001,Eddie House,Heat,316000
2001,Jake Voskuhl,Bulls,316000
2001,Stephen Jackson,Nets,316000
2001,Michael Redd,Bucks,316000
2001,Eduardo Najera,Mavericks,316000
2001,Dan Langhi,Rockets,316000
2001,Daniel Santiago,Suns,316000
2001,Mike Smith,Wizards,316000
2001,Hanno Mottola,Hawks,316000
2001,Rodney Buford,76ers,288000
2001,Anthony Goldwire,Nuggets,243000
2001,Chucky Brown,Warriors,241000
2001,Vernon Maxwell,76ers,161000
2001,Doug Overton,Nets,90000
2001,Sean Colson,Rockets,83000
2001,David Vanterpool,Wizards,80000
2001,Steve Goodrich,Bulls,37000
2001,Eddie Gill,Nets,34000
2001,Chris Garner,Warriors,32000
2001,Scott Burrell,Hornets,29000
2001,Dan McClintock,Nuggets,26000
2001,Raja Bell,76ers,24000
2001,Jamel Thomas,Nets,24000
2002,Kevin Garnett,Timberwolves,22400000
2002,Shaquille O'Neal,Lakers,21428000
2002,Alonzo Mourning,Heat,18756000
2002,Juwan Howard,Nuggets,18750000
2002,Scottie Pippen,Blazers,18083000
2002,Karl Malone,Jazz,17500000
2002,Rasheed Wallace,Blazers,14400000
2002,Dikembe Mutombo,76ers,14315000
2002,Gary Payton,SuperSonics,12926000
2002,Shawn Kemp,Blazers,12770000
2002,Chris Webber,Kings,12750000
2002,Damon Stoudamire,Blazers,12375000
2002,Reggie Miller,Pacers,12045000
2002,Antonio McDyess,Nuggets,11700000
2002,Ray Allen,Bucks,11250000
2002,Vin Baker,SuperSonics,11250000
2002,Antoine Walker,Celtics,11250000
2002,Stephon Marbury,Suns,11250000
2002,Antonio Davis,Raptors,11000000
2002,Tim Duncan,Spurs,10865000
2002,Tracy McGrady,Magic,10865000
2002,Grant Hill,Magic,10865000
2002,Michael Finley,Mavericks,10625000
2002,Vlade Divac,Kings,10444000
2002,Tom Gugliotta,Suns,10113000
2002,Eddie Jones,Heat,10080000
2002,Brian Grant,Heat,10009000
2002,Allan Houston,Knicks,10000000
2002,Tim Thomas,Bucks,9675000
2002,David Robinson,Spurs,9500000
2002,Terrell Brandon,Timberwolves,9250000
2002,Nick Van Exel,Nuggets,9093000
2002,Steve Smith,Spurs,9000000
2002,Glenn Robinson,Bucks,8990000
2002,Glen Rice,Rockets,8800000
2002,Derrick Coleman,76ers,8710000
2002,Theo Ratliff,Hawks,8593000
2002,Jason Kidd,Nets,8440000
2002,Kenny Anderson,Celtics,8350000
2002,Matt Geiger,76ers,8142000
2002,Toni Kukoc,Hawks,8050000
2002,John Stockton,Jazz,8000000
2002,Elden Campbell,Hornets,7975000
2002,Clifford Robinson,Pistons,7656000
2002,Kerry Kittles,Nets,7167000
2002,Dale Davis,Blazers,7010000
2002,Jamal Mashburn,Hornets,6975000
2002,Greg Ostertag,Jazz,6933000
2002,Tyrone Hill,Cavaliers,6600000
2002,Bo Outlaw,Suns,6555000
2002,Charles Oakley,Bulls,6545000
2002,Donyell Marshall,Jazz,6510000
2002,Alan Henderson,Hawks,6500000
2002,Derek Anderson,Blazers,6495000
2002,P.J. Brown,Hornets,6404000
2002,Jermaine O'Neal,Pacers,6325000
2002,Austin Croshere,Pacers,6310000
2002,Wesley Person,Cavaliers,6300000
2002,Marcus Camby,Knicks,6250000
2002,Erick Dampier,Warriors,6235000
2002,Ron Mercer,Pacers,6066000
2002,Kelvin Cato,Rockets,6048000
2002,Derrick McKey,76ers,6000000
2002,Steve Nash,Mavericks,5750000
2002,Isaac Austin,Grizzlies,5695000
2002,Shandon Anderson,Knicks,5500000
2002,Jerry Stackhouse,Pistons,5500000
2002,Lorenzen Wright,Grizzlies,5500000
2002,Nick Anderson,Grizzlies,5401000
2002,Mookie Blaylock,Warriors,5400000
2002,Chris Mills,Warriors,5400000
2002,Alvin Williams,Raptors,5350000
2002,Robert Horry,Lakers,5300000
2002,Eddie Robinson,Bulls,5205000
2002,Chris Childs,Raptors,5200000
2002,Bryon Russell,Jazz,5142000
2002,Charlie Ward,Knicks,5110000
2002,Tariq Abdul-Wahad,Nuggets,5062000
2002,Hakeem Olajuwon,Raptors,5061000
2002,Jerome Williams,Raptors,5000000
2002,Walt Williams,Rockets,5000000
2002,Bob Sura,Warriors,4913000
2002,Jason Caffey,Bucks,4812000
2002,Howard Eisley,Knicks,4781000
